call_id,n_segments,total_chars
AVGO_2024Q4,61,36994
AXP_2020Q1,59,67239
AXP_2020Q2,50,57756
AXP_2020Q3,54,58534
AXP_2020Q4,66,64054
AXP_2021Q1,63,62073
AXP_2021Q2,57,65797
AXP_2021Q3,60,63467
AXP_2021Q4,84,58044
AXP_2022Q1,68,51904
AXP_2022Q2,54,56953
AXP_2022Q3,63,59913
AXP_2022Q4,58,59114
AXP_2023Q1,50,50064
AXP_2023Q2,51,49629
AXP_2023Q3,51,43526
AXP_2023Q4,51,49131
AXP_2024Q1,77,40330
AXP_2024Q2,55,42014
AXP_2024Q3,46,44070
AXP_2024Q4,55,50787
BAC_2020Q1,109,60785
BAC_2020Q2,97,68734
BAC_2020Q3,69,31314
BAC_2020Q4,106,63994
BAC_2021Q1,87,63730
BAC_2021Q2,98,63106
BAC_2021Q3,83,66636
BAC_2021Q4,69,72886
BAC_2022Q1,94,79597
BAC_2022Q2,59,62894
BAC_2022Q3,82,74818
BAC_2022Q4,58,74084
BAC_2023Q1,102,78455
BAC_2023Q2,74,73320
BAC_2023Q3,88,79162
BAC_2023Q4,77,73422
BAC_2024Q1,72,64030
BAC_2024Q2,98,67348
BAC_2024Q3,57,56298
BAC_2024Q4,93,74786
BDX_2020Q1,71,56980
BDX_2020Q2,97,88720
BDX_2020Q3,121,95495
BDX_2020Q4,113,75890
BDX_2021Q1,67,64932
BDX_2021Q2,101,75064
BDX_2021Q3,95,61588
BDX_2021Q4,67,65003
BDX_2022Q1,42,62969
BDX_2022Q2,44,70800
BDX_2022Q3,44,66461
BDX_2022Q4,50,68933
BDX_2023Q1,59,63194
BDX_2023Q2,49,73700
BDX_2023Q3,50,62189
BDX_2023Q4,42,71289
BDX_2024Q1,67,51864
BDX_2024Q2,32,10394
BDX_2024Q3,43,55898
BDX_2024Q4,38,49789
BKR_2020Q1,57,54898
BKR_2020Q2,63,56285
BKR_2020Q3,40,59158
BKR_2020Q4,58,59096
BKR_2021Q1,55,53929
BKR_2021Q2,77,55919
BKR_2021Q3,80,58377
BKR_2021Q4,49,56939
BKR_2022Q1,71,61614
BKR_2022Q2,50,55406
BKR_2022Q3,64,54245
BKR_2022Q4,46,50749
BKR_2023Q1,66,52723
BKR_2023Q2,56,52811
BKR_2023Q3,58,49595
BKR_2023Q4,54,51512
BKR_2024Q1,33,14124
BKR_2024Q2,35,52290
BKR_2024Q3,40,51106
BKR_2024Q4,36,50182
BLK_2020Q1,34,76489
BLK_2020Q2,33,51467
BLK_2020Q3,32,52553
BLK_2020Q4,30,52229
BLK_2021Q1,35,51125
BLK_2021Q2,43,52035
BLK_2021Q3,34,52575
BLK_2021Q4,29,46434
BLK_2022Q1,37,50992
BLK_2022Q2,29,49706
BLK_2022Q3,35,51347
BLK_2022Q4,24,50775
BLK_2023Q1,24,49052
BLK_2023Q2,34,44933
BLK_2023Q3,39,54400
BLK_2023Q4,40,70902
BLK_2024Q1,37,54120
BLK_2024Q2,38,56995
BLK_2024Q3,49,55092
BLK_2024Q4,46,58768
BMY_2020Q1,63,43470
BMY_2020Q2,62,36360
BMY_2020Q3,56,41360
BMY_2020Q4,48,58055
BMY_2021Q1,82,59245
BMY_2021Q2,75,55057
BMY_2021Q3,72,55071
BMY_2021Q4,67,58920
BMY_2022Q1,69,54845
BMY_2022Q2,93,67633
BMY_2022Q3,76,61304
BMY_2022Q4,56,54109
BMY_2023Q1,65,57431
BMY_2023Q2,97,70291
BMY_2023Q3,77,56828
BMY_2023Q4,96,58625
BMY_2024Q1,83,23557
BMY_2024Q2,120,68317
BMY_2024Q3,83,60387
BMY_2024Q4,100,74748
BSX_2020Q1,22,21939
BSX_2020Q2,32,28551
BSX_2020Q3,78,42865
BSX_2020Q4,21,29488
BSX_2021Q1,31,37079
BSX_2021Q2,39,35615
BSX_2021Q3,45,48622
BSX_2021Q4,47,47548
BSX_2022Q1,37,52527
BSX_2022Q2,45,54746
BSX_2022Q3,77,52631
BSX_2022Q4,50,52138
BSX_2023Q1,68,53718
BSX_2023Q2,74,50161
BSX_2023Q3,61,45144
BSX_2023Q4,72,49973
BSX_2024Q1,59,13517
BSX_2024Q2,67,52154
BSX_2024Q3,77,53641
BSX_2024Q4,69,50872
CB_2020Q1,96,45205
CB_2020Q2,65,42721
CB_2020Q3,91,42442
CB_2020Q4,60,40155
CB_2021Q1,106,39517
CB_2021Q2,84,34247
CB_2021Q3,88,40722
CB_2021Q4,110,45382
CB_2022Q1,67,37732
CB_2022Q2,85,40607
CB_2022Q3,80,41669
CB_2022Q4,79,38616
CB_2023Q1,89,40819
CB_2023Q2,95,40377
CB_2023Q3,86,41486
CB_2023Q4,74,39869
CB_2024Q1,73,21900
CB_2024Q2,89,38221
CB_2024Q3,96,39907
CB_2024Q4,107,38710
CDNS_2020Q1,90,48497
CDNS_2020Q2,81,42071
CDNS_2020Q3,111,49840
CDNS_2020Q4,64,50588
CDNS_2021Q1,88,41413
CDNS_2021Q2,61,41839
CDNS_2021Q3,87,48773
CDNS_2021Q4,67,48271
CDNS_2022Q1,71,37342
CDNS_2022Q2,47,44057
CDNS_2022Q3,65,52607
CDNS_2022Q4,66,53311
CDNS_2023Q1,96,55692
CDNS_2023Q2,89,60242
CDNS_2023Q3,80,54365
CDNS_2023Q4,77,61018
CDNS_2024Q1,67,56243
CDNS_2024Q2,84,52850
CDNS_2024Q3,81,55663
CDNS_2024Q4,53,40078
CI_2020Q1,68,63121
CI_2020Q2,84,61744
CI_2020Q3,82,71549
CI_2020Q4,73,59671
CI_2021Q1,63,67872
CI_2021Q2,71,67862
CI_2021Q3,65,60403
CI_2021Q4,75,74502
CI_2022Q1,73,60179
CI_2022Q2,61,60615
CI_2022Q3,50,54137
CI_2022Q4,48,59065
CI_2023Q1,48,62367
CI_2023Q2,53,56565
CI_2023Q3,49,55460
CI_2023Q4,51,63959
CI_2024Q1,48,32181
CI_2024Q2,55,55544
CI_2024Q3,59,64501
CI_2024Q4,61,60065
CL_2020Q1,51,57560
CL_2020Q2,41,55169
CL_2020Q3,41,51397
CL_2020Q4,48,63409
CL_2021Q1,51,49603
CL_2021Q2,25,33748
CL_2021Q3,63,64670
CL_2021Q4,56,57993
CL_2022Q1,48,52262
CL_2022Q2,64,41386
CL_2022Q3,59,46383
CL_2022Q4,71,64517
CL_2023Q1,60,53304
CL_2023Q2,49,41770
CL_2023Q3,46,36833
CL_2023Q4,61,46935
CL_2024Q1,50,17433
CL_2024Q2,60,43121
CL_2024Q3,60,49130
CL_2024Q4,69,61622
CME_2020Q1,137,78224
CME_2020Q2,104,66630
CME_2020Q3,108,62558
CME_2020Q4,132,75146
CME_2021Q1,117,56271
CME_2021Q2,66,40824
CME_2021Q3,72,50135
CME_2021Q4,88,69280
CME_2022Q1,89,54825
CME_2022Q2,118,60844
CME_2022Q3,90,69943
CME_2022Q4,108,58270
CME_2023Q1,107,55838
CME_2023Q2,113,58999
CME_2023Q3,122,56312
CME_2023Q4,115,51765
CME_2024Q1,109,27454
CME_2024Q2,156,64588
CME_2024Q3,140,65070
CME_2024Q4,112,61322
CMG_2020Q1,89,64328
CMG_2020Q2,78,60038
CMG_2020Q3,79,60084
CMG_2020Q4,76,59230
CMG_2021Q1,73,57880
CMG_2021Q2,67,57339
CMG_2021Q3,76,60547
CMG_2021Q4,55,58348
CMG_2022Q1,87,55685
CMG_2022Q2,94,54924
CMG_2022Q3,66,59208
CMG_2022Q4,80,57866
CMG_2023Q1,90,60628
CMG_2023Q2,82,59431
CMG_2023Q3,88,57180
CMG_2023Q4,65,59459
CMG_2024Q1,73,22044
CMG_2024Q2,81,59376
CMG_2024Q3,71,57509
CMG_2024Q4,71,59484
COF_2020Q1,72,46747
COF_2020Q2,54,40657
COF_2020Q3,62,40001
COF_2020Q4,49,30934
COF_2021Q1,54,33144
COF_2021Q2,50,34216
COF_2021Q3,46,12364
COF_2021Q4,54,57584
COF_2022Q1,70,57746
COF_2022Q2,68,55540
COF_2022Q3,82,65411
COF_2022Q4,63,49787
COF_2023Q1,61,20887
COF_2023Q2,40,16303
COF_2023Q3,68,50903
COF_2023Q4,59,58828
COF_2024Q1,58,21985
COF_2024Q2,45,50290
COF_2024Q3,65,48202
COF_2024Q4,69,66894
COP_2020Q1,95,48209
COP_2020Q2,73,53925
COP_2020Q3,91,54378
COP_2020Q4,84,56366
COP_2021Q1,80,54306
COP_2021Q2,60,36395
COP_2021Q3,74,43928
COP_2021Q4,78,51089
COP_2022Q1,43,34618
COP_2022Q2,69,47758
COP_2022Q3,74,49352
COP_2022Q4,96,47380
COP_2023Q1,55,28658
COP_2023Q2,73,48085
COP_2023Q3,62,43386
COP_2023Q4,79,38847
COP_2024Q1,49,20016
COP_2024Q2,59,48869
COP_2024Q3,72,44756
COP_2024Q4,58,51982
COST_2020Q1,102,56427
COST_2020Q2,120,58170
COST_2020Q3,83,54152
COST_2020Q4,140,67536
COST_2021Q1,137,52662
COST_2021Q2,112,54272
COST_2021Q3,108,59603
COST_2021Q4,95,48358
COST_2022Q1,122,57893
COST_2022Q2,70,54708
COST_2022Q3,118,51044
COST_2022Q4,74,53281
COST_2023Q1,82,51471
COST_2023Q2,77,51610
COST_2023Q3,77,55416
COST_2023Q4,113,50122
COST_2024Q1,125,48774
COST_2024Q2,100,59945
COST_2024Q3,130,60821
COST_2024Q4,79,54564
CRM_2020Q1,61,55895
CRM_2020Q2,44,53162
CRM_2020Q3,40,49731
CRM_2020Q4,43,50594
CRM_2021Q1,40,59276
CRM_2021Q2,44,51692
CRM_2021Q3,39,58904
CRM_2021Q4,39,46649
CRM_2022Q1,35,54107
CRM_2022Q2,43,53559
CRM_2022Q3,76,55422
CRM_2022Q4,52,55490
CRM_2023Q1,53,52723
CRM_2023Q2,59,20088
CRM_2023Q3,51,57670
CRM_2023Q4,36,56003
CRM_2024Q1,59,59679
CRM_2024Q2,57,62076
CRM_2024Q3,44,56880
CRM_2024Q4,47,72294
CSCO_2020Q1,47,37818
CSCO_2020Q2,89,43031
CSCO_2020Q3,74,51090
CSCO_2020Q4,80,46532
CSCO_2021Q1,95,48092
CSCO_2021Q2,89,56784
CSCO_2021Q3,103,55607
CSCO_2021Q4,88,56677
CSCO_2022Q1,111,58446
CSCO_2022Q2,86,53214
CSCO_2022Q3,103,58396
CSCO_2022Q4,95,59660
CSCO_2023Q1,75,22927
CSCO_2023Q2,100,53824
CSCO_2023Q3,74,42217
CSCO_2023Q4,92,53264
CSCO_2024Q1,70,40406
CSCO_2024Q2,72,47798
CSCO_2024Q3,73,55636
CSCO_2024Q4,84,54988
CTRA_2020Q1,35,24178
CTRA_2020Q2,75,34100
CTRA_2020Q3,61,37667
CTRA_2020Q4,78,49183
CTRA_2021Q1,49,39798
CTRA_2021Q2,59,34588
CTRA_2021Q3,74,47275
CTRA_2021Q4,86,50829
CTRA_2022Q1,96,49686
CTRA_2022Q2,61,36895
CTRA_2022Q3,80,46918
CTRA_2022Q4,106,50717
CTRA_2023Q1,53,28578
CTRA_2023Q2,81,46193
CTRA_2023Q3,106,51399
CTRA_2023Q4,61,39345
CTRA_2024Q1,74,23641
CTRA_2024Q2,87,50523
CTRA_2024Q3,80,49548
CTRA_2024Q4,91,54543
CVS_2020Q1,69,38672
CVS_2020Q2,57,41568
CVS_2020Q3,88,47651
CVS_2020Q4,15,27604
CVS_2021Q1,75,31091
CVS_2021Q2,49,52181
CVS_2021Q3,49,48209
CVS_2021Q4,69,50525
CVS_2022Q1,65,51525
CVS_2022Q2,62,49703
CVS_2022Q3,43,50556
CVS_2022Q4,46,59276
CVS_2023Q1,46,55442
CVS_2023Q2,49,54040
CVS_2023Q3,35,57743
CVS_2023Q4,59,56522
CVS_2024Q1,48,16201
CVS_2024Q2,52,58089
CVS_2024Q3,41,57925
CVS_2024Q4,35,59431
CVX_2020Q1,83,45926
CVX_2020Q2,107,60768
CVX_2020Q3,124,55930
CVX_2020Q4,73,59847
CVX_2021Q1,60,49433
CVX_2021Q2,94,48841
CVX_2021Q3,95,57803
CVX_2021Q4,72,48316
CVX_2022Q1,61,50806
CVX_2022Q2,87,55285
CVX_2022Q3,64,47292
CVX_2022Q4,85,53499
CVX_2023Q1,91,49340
CVX_2023Q2,71,47164
CVX_2023Q3,95,48353
CVX_2023Q4,69,48156
CVX_2024Q1,59,17561
CVX_2024Q2,59,43882
CVX_2024Q3,60,53116
CVX_2024Q4,76,59227
C_2020Q1,83,68703
C_2020Q2,85,80647
C_2020Q3,115,81830
C_2020Q4,80,75461
C_2021Q1,74,76275
C_2021Q2,54,52701
C_2021Q3,61,52504
C_2021Q4,107,74050
C_2022Q1,70,58720
C_2022Q2,76,66939
C_2022Q3,97,63876
C_2022Q4,96,72451
C_2023Q1,87,74225
C_2023Q2,92,76288
C_2023Q3,66,69831
C_2023Q4,89,80740
C_2024Q1,84,75748
C_2024Q2,101,75674
C_2024Q3,87,75379
C_2024Q4,61,66084
DG_2020Q1,44,19188
DG_2020Q2,50,17949
DG_2020Q3,40,17379
DG_2020Q4,56,19844
DG_2021Q1,55,18430
DG_2021Q2,50,17633
DG_2021Q3,45,15646
DG_2021Q4,46,12894
DG_2022Q1,52,17765
DG_2022Q2,45,17655
DG_2022Q3,39,9616
DG_2022Q4,43,12069
DG_2023Q3,33,8650
DG_2023Q4,32,11364
DG_2024Q1,40,53805
DG_2024Q2,35,54272
DG_2024Q3,48,54301
DG_2024Q4,31,55605
DHR_2020Q1,49,37812
DHR_2020Q2,85,51061
DHR_2020Q3,65,49798
DHR_2020Q4,63,43252
DHR_2021Q1,69,44497
DHR_2021Q2,46,45612
DHR_2021Q3,81,43701
DHR_2021Q4,51,45323
DHR_2022Q1,55,39593
DHR_2022Q2,73,46776
DHR_2022Q3,55,43256
DHR_2022Q4,61,44593
DHR_2023Q1,65,44786
DHR_2023Q2,61,43702
DHR_2023Q3,53,38892
DHR_2023Q4,60,47830
DHR_2024Q1,46,26854
DHR_2024Q2,60,45776
DHR_2024Q3,68,41565
DHR_2024Q4,63,42192
DLTR_2020Q1,55,16600
DLTR_2020Q2,65,24444
DLTR_2020Q3,58,24123
DLTR_2020Q4,65,22732
DLTR_2021Q1,54,23569
DLTR_2021Q2,55,21722
DLTR_2021Q3,68,21924
DLTR_2021Q4,50,20594
DLTR_2022Q1,60,22187
DLTR_2022Q2,45,15456
DLTR_2022Q3,65,20883
DLTR_2022Q4,60,19462
DLTR_2023Q1,57,16824
DLTR_2023Q2,43,15315
DLTR_2023Q3,57,13478
DLTR_2023Q4,56,14073
DLTR_2024Q1,59,15771
DLTR_2024Q2,42,56277
DLTR_2024Q3,49,55449
DLTR_2024Q4,48,55917
DPZ_2020Q1,73,70983
DPZ_2020Q2,69,67636
DPZ_2020Q3,94,67919
DPZ_2020Q4,97,67124
DPZ_2021Q1,88,58148
DPZ_2021Q2,57,57584
DPZ_2021Q3,49,16405
DPZ_2021Q4,40,11511
DPZ_2022Q1,43,54184
DPZ_2022Q2,62,53608
DPZ_2022Q3,57,52138
DPZ_2022Q4,46,50900
DPZ_2023Q1,67,50901
DPZ_2023Q2,78,53828
DPZ_2023Q3,77,54183
DPZ_2023Q4,74,53904
DPZ_2024Q1,75,25437
DPZ_2024Q2,63,54180
DPZ_2024Q3,77,54393
DPZ_2024Q4,78,56722
DVN_2020Q1,97,51700
DVN_2020Q2,90,32786
DVN_2020Q3,51,44949
DVN_2020Q4,56,57940
DVN_2021Q1,74,54087
DVN_2021Q2,52,50313
DVN_2021Q3,77,56244
DVN_2021Q4,77,54754
DVN_2022Q1,64,55350
DVN_2022Q2,54,52740
DVN_2022Q3,68,53136
DVN_2022Q4,52,55096
DVN_2023Q1,87,56756
DVN_2023Q2,68,56576
DVN_2023Q3,85,55783
DVN_2023Q4,88,58011
DVN_2024Q1,66,22759
DVN_2024Q2,91,56894
DVN_2024Q3,66,54081
DVN_2024Q4,85,54124
EL_2020Q1,44,50686
EL_2020Q2,53,48284
EL_2020Q3,28,52473
EL_2020Q4,46,65307
EL_2021Q1,39,52044
EL_2021Q2,37,51900
EL_2021Q3,48,49280
EL_2021Q4,48,59714
EL_2022Q1,48,50569
EL_2022Q2,40,51821
EL_2022Q3,32,51657
EL_2022Q4,42,62827
EL_2023Q1,32,48739
EL_2023Q2,21,51527
EL_2023Q3,26,50603
EL_2023Q4,26,59814
EL_2024Q1,36,50165
EL_2024Q2,33,52608
EL_2024Q3,32,54704
EL_2024Q4,30,58268
EOG_2020Q1,64,50513
EOG_2020Q2,61,53342
EOG_2020Q3,91,51838
EOG_2020Q4,69,52845
EOG_2021Q1,77,51116
EOG_2021Q2,70,49002
EOG_2021Q3,81,53183
EOG_2021Q4,57,50218
EOG_2022Q1,62,54830
EOG_2022Q2,64,54082
EOG_2022Q3,63,50917
EOG_2022Q4,58,51025
EOG_2023Q1,78,53782
EOG_2023Q2,54,47018
EOG_2023Q3,68,54368
EOG_2023Q4,61,56437
EOG_2024Q1,63,23337
EOG_2024Q2,55,59680
EOG_2024Q3,58,56248
EOG_2024Q4,59,55385
EW_2020Q1,64,53899
EW_2020Q2,100,53275
EW_2020Q3,88,51139
EW_2020Q4,16,11151
EW_2021Q1,72,40133
EW_2021Q2,95,44154
EW_2021Q3,83,51451
EW_2021Q4,93,52480
EW_2022Q1,57,37954
EW_2022Q2,77,51533
EW_2022Q3,90,52505
EW_2022Q4,82,51542
EW_2023Q1,78,51135
EW_2023Q2,75,54197
EW_2023Q3,78,51376
EW_2023Q4,75,56111
EW_2024Q1,85,27854
EW_2024Q2,62,53680
EW_2024Q3,63,48571
EW_2024Q4,71,49225
FANG_2020Q1,107,42877
FANG_2020Q2,83,41278
FANG_2020Q3,97,57950
FANG_2020Q4,125,55541
FANG_2021Q1,70,38665
FANG_2021Q2,86,39595
FANG_2021Q3,105,41199
FANG_2021Q4,105,48602
FANG_2022Q1,81,45957
FANG_2022Q2,79,41237
FANG_2022Q3,96,38116
FANG_2022Q4,72,42630
FANG_2023Q1,151,45959
FANG_2023Q2,58,28317
FANG_2023Q3,114,46908
FANG_2023Q4,89,30471
FANG_2024Q1,67,28452
FANG_2024Q2,120,43129
FANG_2024Q3,118,51260
FANG_2024Q4,79,36599
FTNT_2020Q1,93,53884
FTNT_2020Q2,63,45648
FTNT_2020Q3,118,48538
FTNT_2020Q4,77,52091
FTNT_2021Q1,101,56829
FTNT_2021Q2,97,53530
FTNT_2021Q3,81,46516
FTNT_2021Q4,89,49929
FTNT_2022Q1,77,46866
FTNT_2022Q2,67,52967
FTNT_2022Q3,95,57142
FTNT_2022Q4,95,57932
FTNT_2023Q1,99,56137
FTNT_2023Q2,87,53913
FTNT_2023Q3,65,50981
FTNT_2023Q4,70,54930
FTNT_2024Q1,75,23126
FTNT_2024Q2,70,53676
FTNT_2024Q3,82,49983
FTNT_2024Q4,78,53098
GILD_2020Q1,72,63864
GILD_2020Q2,91,60622
GILD_2020Q3,52,63523
GILD_2020Q4,52,61091
GILD_2021Q1,61,56868
GILD_2021Q2,52,54785
GILD_2021Q3,79,53717
GILD_2021Q4,66,60994
GILD_2022Q1,65,57625
GILD_2022Q2,61,57768
GILD_2022Q3,44,59434
GILD_2022Q4,55,57984
